CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-01-31 10:51:53.4598502,C:\Windows\prefetch\ADB.EXE-1B4A4A4B.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\ADB.EXE-1B4A4A4B.pf,7824,21569E4DF5BF1971CF365020F202E6EE33A78297,False,2025-01-29 21:47:41.9780001,2025-01-29 22:02:50.2696541,2025-01-31 10:27:36.3754957,00:00:00.0299988
2025-01-31 10:51:53.5024624,C:\Windows\prefetch\AGGREGATORHOST.EXE-8DA5EB72.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AGGREGATORHOST.EXE-8DA5EB72.pf,5888,391C442C257A2E50E1DD25D7964359AAB13CAC02,False,2025-01-23 22:21:37.2208896,2025-01-23 22:21:37.2218873,2025-01-31 10:27:36.3806088,00:00:00.0040503
2025-01-31 10:51:53.5204693,C:\Windows\prefetch\AM_DELTA.EXE-78CA83B0.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA.EXE-78CA83B0.pf,2171,D74D653F5DE19847B02EA4FEEE2AABEF739A4E30,False,2025-01-24 10:51:38.9393705,2025-01-24 10:51:38.9403754,2025-01-31 10:27:36.3806088,00:00:00.0150146
2025-01-31 10:51:53.5353787,C:\Windows\prefetch\AM_DELTA_PATCH_1.421.1496.0.E-7E233584.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA_PATCH_1.421.1496.0.E-7E233584.pf,2363,5354CDF37E7A02C5481424A7E761FA51AFB4409B,False,2025-01-24 09:08:12.5329638,2025-01-24 09:08:12.5368435,2025-01-31 10:27:36.3806088,00:00:00.0109820
2025-01-31 10:51:53.5603718,C:\Windows\prefetch\AM_DELTA_PATCH_1.421.1537.0.E-CEAF1F10.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA_PATCH_1.421.1537.0.E-CEAF1F10.pf,2175,443D57EC920B185EEB3A48838484D4D53F48E508,False,2025-01-26 19:24:18.9413081,2025-01-26 19:24:18.9433608,2025-01-31 10:27:36.3806088,00:00:00.0200967
2025-01-31 10:51:53.5734234,C:\Windows\prefetch\AM_DELTA_PATCH_1.421.1592.0.E-518E4195.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA_PATCH_1.421.1592.0.E-518E4195.pf,2181,F77D7A4C5B37DB6262AD4108241D738FEF966DC7,False,2025-01-30 07:50:22.1644831,2025-01-30 07:50:22.1664548,2025-01-31 10:27:36.3818929,00:00:00.0090419
2025-01-31 10:51:53.5961582,C:\Windows\prefetch\AM_DELTA_PATCH_1.421.1620.0.E-4876AB15.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA_PATCH_1.421.1620.0.E-4876AB15.pf,2175,0B5FB841F658DA8523032DB09A2C9B305ED6665B,False,2025-01-30 21:35:52.1368115,2025-01-30 21:35:52.1378234,2025-01-31 10:27:36.3818929,00:00:00.0168002
2025-01-31 10:51:53.6091616,C:\Windows\prefetch\AM_DELTA_PATCH_1.421.1626.0.E-4E740653.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AM_DELTA_PATCH_1.421.1626.0.E-4E740653.pf,2183,36E6331653E4BCD6830402E297EEA6F8649A4537,False,2025-01-31 08:57:36.8191672,2025-01-31 08:57:36.8210602,2025-01-31 10:27:36.3818929,00:00:00.0081189
2025-01-31 10:51:53.6342657,C:\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf,27422,4BE91FA90326BBA5A2BDA1EF5117BAD61D65D34A,False,2025-01-29 19:18:34.4999185,2025-01-31 09:40:34.3109242,2025-01-31 10:27:36.3818929,00:00:00.0211018
2025-01-31 10:51:53.6551418,C:\Windows\prefetch\AUDIODG.EXE-AB22E9A6.pf,C:\Users\sami\PycharmProjects\forenzna_analyza_cloud_aplikacii\exPrefetch\C\Windows\prefetch\AUDIODG.EXE-AB22E9A6.pf,9868,4E7F2F83CC4740778CE4FDD4F3FE26C809FEAF69,False,2025-01-24 08:53:28.0475603,2025-01-31 09:55:56.2831408,2025-01-31 10:27:36.3833177,00:00:00.0169016
