item_stable_id,key,value,value_type
210,local-title,My PC,3
210,version-counter,1,2
209,local-title,Downloads,3
209,version-counter,1,2
208,local-title,Desktop,3
208,version-counter,1,2
207,local-title,Documents,3
207,version-counter,1,2
203,local-title,Microsoft Edge.lnk,3
203,version-counter,1,2
211,local-title,ChromeSetup.exe,3
211,version-counter,1,2
212,local-title,nieco.txt,3
212,version-counter,1,2
213,local-title,GoogleDriveSetup.exe,3
213,version-counter,2,2
418,local-title,kape,3
418,version-counter,1,2
417,local-title,KAPE,3
417,version-counter,1,2
416,local-title,Documentation,3
416,version-counter,1,2
415,local-title,Modules,3
415,version-counter,1,2
414,local-title,Get-KAPEUpdate.ps1,3
414,version-counter,1,2
413,local-title,ChangeLog.txt,3
413,version-counter,1,2
412,local-title,kape.exe,3
412,version-counter,1,2
428,local-title,!Disabled,3
428,version-counter,1,2
427,local-title,Apps,3
427,version-counter,1,2
426,local-title,!Local,3
426,version-counter,1,2
424,local-title,ModuleGuide.guide,3
424,version-counter,1,2
423,local-title,CompoundModuleGuide.guide,3
423,version-counter,1,2
422,local-title,ModuleTemplate.template,3
422,version-counter,1,2
421,local-title,CompoundModuleTemplate.template,3
421,version-counter,1,2
420,local-title,DocumentationAndEULA.txt,3
420,version-counter,1,2
419,local-title,bin,3
419,version-counter,1,2
449,local-title,Volatility,3
449,version-counter,1,2
448,local-title,Volatility_apihooks.mkape,3
448,version-counter,1,2
447,local-title,TZWorks_evtwalk64_EventLogs_ApplicationEvents.mkape,3
447,version-counter,1,2
446,local-title,Volatility_filescan.mkape,3
446,version-counter,1,2
445,local-title,Volatility_dumpfiles.mkape,3
445,version-counter,1,2
444,local-title,Plaso.mkape,3
444,version-counter,1,2
443,local-title,Volatility_dlldump.mkape,3
443,version-counter,1,2
442,local-title,Volatility_handles.mkape,3
442,version-counter,1,2
441,local-title,Volatility_Disabled.mkape,3
441,version-counter,1,2
440,local-title,!ALL.mkape,3
440,version-counter,1,2
439,local-title,Winlogbeat_ALL.mkape,3
439,version-counter,1,2
438,local-title,Volatility_malfind_dump.mkape,3
438,version-counter,1,2
437,local-title,MagnetForensics_RAMCapture.mkape,3
437,version-counter,1,2
436,local-title,SQLite3_TeraCopy_Main.mkape,3
436,version-counter,1,2
435,local-title,KAPE_Automation.mkape,3
435,version-counter,1,2
434,local-title,MagnetForensics_EDD.mkape,3
434,version-counter,1,2
433,local-title,Volatility_moddump.mkape,3
433,version-counter,1,2
432,local-title,Volatility_procdump.mkape,3
432,version-counter,1,2
431,local-title,McAfeeStinger.mkape,3
431,version-counter,1,2
430,local-title,Volatility_timeliner.mkape,3
430,version-counter,1,2
429,local-title,Volatility_mftparser.mkape,3
429,version-counter,1,2
529,local-title,Everything_ParseEFU.mkape,3
529,version-counter,1,2
528,local-title,CrowdStrike_CrowdResponse.mkape,3
528,version-counter,1,2
527,local-title,Volatility_memdump.mkape,3
527,version-counter,1,2
526,local-title,Volatility_shellbags.mkape,3
526,version-counter,1,2
525,local-title,DensityScout.mkape,3
525,version-counter,1,2
524,local-title,PowerShell_log4j.mkape,3
524,version-counter,1,2
523,local-title,DumpIt_Memory.mkape,3
523,version-counter,1,2
522,local-title,NTFSLogTracker_$J.mkape,3
522,version-counter,1,2
521,local-title,ExifTool.mkape,3
521,version-counter,1,2
520,local-title,GitHub,3
520,version-counter,1,2
519,local-title,LogParser,3
519,version-counter,1,2
518,local-title,NirSoft,3
518,version-counter,1,2
517,local-title,SOFELK,3
517,version-counter,1,2
516,local-title,SysInternals,3
516,version-counter,1,2
515,local-title,Thor,3
515,version-counter,1,2
514,local-title,Thor-Lite,3
514,version-counter,1,2
513,local-title,TZWorks,3
513,version-counter,1,2
512,local-title,Snap2HTML.mkape,3
512,version-counter,1,2
511,local-title,NTFSLogTracker_$LogFile.mkape,3
511,version-counter,1,2
510,local-title,PowerShell_5SecondPause.mkape,3
510,version-counter,1,2
509,local-title,SQLite3_TeraCopy_History.mkape,3
509,version-counter,1,2
508,local-title,Kaspersky_TDSSKiller.mkape,3
508,version-counter,1,2
507,local-title,EvtxECmd,3
507,version-counter,1,2
506,local-title,LECmd.exe,3
506,version-counter,1,2
505,local-title,RBCmd.exe,3
505,version-counter,1,2
504,local-title,RecentFileCacheParser.exe,3
504,version-counter,1,2
503,local-title,SumECmd.exe,3
503,version-counter,1,2
502,local-title,AppCompatCacheParser.exe,3
502,version-counter,1,2
501,local-title,LogParser_ApacheAccessLogs.mkape,3
501,version-counter,1,2
500,local-title,Bulk_extractor.mkape,3
500,version-counter,1,2
499,local-title,SysInternals_PsService.mkape,3
499,version-counter,1,2
498,local-title,NirSoft_FullEventLogView_System.mkape,3
498,version-counter,1,2
497,local-title,ObsidianForensics_Hindsight.mkape,3
497,version-counter,1,2
425,local-title,gkape.exe,3
425,version-counter,2,2
496,local-title,VLSeeRecent_VLCRecentFiles.mkape,3
496,version-counter,1,2
495,local-title,Zircolite_Scan.mkape,3
495,version-counter,1,2
494,local-title,Zircolite_Update.mkape,3
494,version-counter,1,2
493,local-title,Velocidex_WinPmem.mkape,3
493,version-counter,1,2
492,local-title,WMI-Parser.mkape,3
492,version-counter,1,2
491,local-title,PowerShell_SrumECmd_SRUM-RepairAndParse.mkape,3
491,version-counter,1,2
490,local-title,PowerShell_SumECmd_SUM-RepairAndParse.mkape,3
490,version-counter,1,2
489,local-title,INDXRipper.mkape,3
489,version-counter,1,2
488,local-title,hasherezade_HollowsHunter.mkape,3
488,version-counter,1,2
487,local-title,HatTrickFreenetParser.mkape,3
487,version-counter,1,2
486,local-title,LogParser_SMBServerAnonymousLogons.mkape,3
486,version-counter,1,2
485,local-title,SysInternals_PsLoggedOn.mkape,3
485,version-counter,1,2
484,local-title,SysInternals_PsList.mkape,3
484,version-counter,1,2
483,local-title,SysInternals_PsFile.mkape,3
483,version-counter,1,2
482,local-title,SysInternals_PsInfo.mkape,3
482,version-counter,1,2
481,local-title,SysInternals_Handle.mkape,3
481,version-counter,1,2
480,local-title,SysInternals_Autoruns.mkape,3
480,version-counter,1,2
479,local-title,SOFELK_Parser_MFTECmd_MFT.mkape,3
479,version-counter,1,2
478,local-title,NirSoft_FullEventLogView_PrintService-Operational.mkape,3
478,version-counter,1,2
477,local-title,LogParser_RDPUsageEvents.mkape,3
477,version-counter,1,2
476,local-title,NirSoft_FullEventLogView_PowerShell-Operational.mkape,3
476,version-counter,1,2
475,local-title,NirSoft_FullEventLogView_AllEventLogs.mkape,3
475,version-counter,1,2
474,local-title,NirSoft_FullEventLogView_Application.mkape,3
474,version-counter,1,2
473,local-title,NirSoft_FullEventLogView_ScheduledTasks.mkape,3
473,version-counter,1,2
472,local-title,NirSoft_BrowsingHistoryView.mkape,3
472,version-counter,1,2
471,local-title,PowerShell_Get-DoSvc4n6.mkape,3
471,version-counter,1,2
470,local-title,mimikatz_NTLMHashes.mkape,3
470,version-counter,1,2
469,local-title,PowerShell_MFTECmd_J-MFTParsing.mkape,3
469,version-counter,1,2
468,local-title,PowerShell_Get-ChainsawSigmaRules.mkape,3
468,version-counter,1,2
467,local-title,PowerShell_Get-NetworkConnection.mkape,3
467,version-counter,1,2
466,local-title,PowerShell_Get-InjectedThread.mkape,3
466,version-counter,1,2
465,local-title,OneDriveExplorer.mkape,3
465,version-counter,1,2
464,local-title,LogParser_LogonLogoffEvents.mkape,3
464,version-counter,1,2
463,local-title,LogParser_DetailedNetworkShareAccess.mkape,3
463,version-counter,1,2
462,local-title,BitsParser.mkape,3
462,version-counter,1,2
461,local-title,DHParser.mkape,3
461,version-counter,1,2
460,local-title,EvtxHussar.mkape,3
460,version-counter,1,2
459,local-title,CCMRUAFinder_RecentlyUsedApps.mkape,3
459,version-counter,1,2
458,local-title,BMC-Tools_RDPBitmapCacheParser.mkape,3
458,version-counter,1,2
457,local-title,SysInternals_Tcpvcon.mkape,3
457,version-counter,1,2
456,local-title,Maps,3
456,version-counter,1,2
455,local-title,NirSoft_FullEventLogView_Security.mkape,3
455,version-counter,1,2
454,local-title,RegRipper,3
454,version-counter,1,2
453,local-title,Hayabusa,3
453,version-counter,1,2
452,local-title,reg_hunter,3
452,version-counter,1,2
451,local-title,Volatility,3
