child_local_stable_id,child_stable_id,parent_stable_id
1,205,203
2,207,203
5,209,203
1618,4193,4191
1619,4195,4193
1628,4213,4013
3,211,205
4,213,205
9,221,207
11,225,207
12,405,205
13,407,205
14,409,407
15,411,409
16,413,409
17,415,409
18,417,409
19,419,409
20,421,419
21,423,409
22,425,423
23,427,423
24,429,423
1627,4211,4025
25,431,423
26,433,431
27,435,431
28,437,431
29,439,431
30,441,431
31,443,431
32,445,431
33,447,431
34,449,431
35,451,423
36,453,431
37,455,431
38,457,431
39,459,431
40,461,431
41,463,431
42,465,431
43,467,431
44,469,423
45,471,469
46,473,469
47,475,469
48,477,469
49,479,423
50,481,469
51,483,469
52,485,469
53,487,469
54,489,469
55,491,469
56,493,469
57,495,469
58,497,469
59,499,469
60,501,469
61,503,469
62,505,469
63,507,469
64,509,507
65,511,507
66,513,507
67,515,507
68,517,507
69,519,507
70,521,507
71,523,507
72,525,507
73,527,507
74,529,469
75,531,507
76,533,507
77,535,507
78,537,507
79,539,507
80,541,507
81,543,507
82,545,507
83,547,507
84,549,507
85,551,507
86,553,507
87,555,507
88,557,507
89,559,507
90,561,507
91,563,507
92,565,507
93,567,507
94,569,507
95,571,507
96,573,507
97,575,507
98,577,507
99,579,507
100,581,579
101,583,579
102,585,579
103,587,507
104,589,587
105,591,587
106,593,587
107,595,587
108,597,587
109,599,507
110,601,507
111,603,507
112,605,579
113,607,579
114,609,579
115,611,579
116,613,579
117,615,579
118,617,579
119,619,579
120,621,507
121,623,621
122,625,621
123,627,621
124,629,621
125,631,621
126,633,621
127,635,621
128,637,621
129,639,621
130,641,621
131,643,621
132,645,621
133,647,507
134,649,647
135,651,647
136,653,647
137,655,647
138,657,647
139,659,647
140,661,647
141,663,647
142,665,647
143,667,647
144,669,647
145,671,647
146,673,647
147,675,647
148,677,647
149,679,647
150,681,647
151,683,647
152,685,647
153,687,647
154,689,647
155,691,647
156,693,647
157,695,647
158,697,647
159,699,647
160,701,469
161,703,701
162,705,701
163,707,701
164,709,701
165,711,701
166,713,469
167,715,713
168,717,713
169,719,713
170,721,713
171,723,713
172,725,713
173,727,713
174,729,713
175,731,713
176,733,713
177,735,469
178,737,735
179,739,735
180,741,735
181,743,735
182,745,735
183,747,469
184,749,747
185,751,747
186,753,747
187,755,747
188,757,747
189,759,747
190,761,747
191,763,747
192,765,747
193,767,747
194,769,469
195,771,769
196,773,769
197,775,469
198,777,775
199,779,775
1626,4209,4025
200,781,775
201,783,775
202,785,469
203,787,785
204,789,785
205,791,423
206,793,791
207,795,791
208,797,791
209,799,791
210,801,791
211,803,791
212,805,791
213,807,791
214,809,791
215,811,791
216,813,791
217,815,791
218,817,791
219,819,791
220,821,819
221,823,819
222,825,823
223,827,823
224,829,823
225,831,823
226,833,823
227,835,823
228,837,823
229,839,823
230,841,823
231,843,823
232,845,823
233,847,823
234,849,823
235,851,823
236,853,823
237,855,823
238,857,823
239,859,823
240,861,823
241,863,823
242,865,823
243,867,823
244,869,823
245,871,823
246,873,823
247,875,823
248,877,823
249,879,823
250,881,823
251,883,823
252,885,823
253,887,823
254,889,823
255,891,823
256,893,823
257,895,823
258,897,823
259,899,823
260,901,823
261,903,823
262,905,823
263,907,823
264,909,823
265,911,823
266,913,823
267,915,823
268,917,823
269,919,823
270,921,823
271,923,823
272,925,823
273,927,823
274,929,823
275,931,823
276,933,823
277,935,823
278,937,823
279,939,823
280,941,823
281,943,823
282,945,823
283,947,823
284,949,823
285,951,823
286,953,823
287,955,823
288,957,823
289,959,823
290,961,823
291,963,823
292,965,823
293,967,823
294,969,823
295,971,823
296,973,823
297,975,823
298,977,823
299,979,823
300,981,823
301,983,823
302,985,823
303,987,823
304,989,823
305,991,823
306,993,823
307,995,823
308,997,823
309,999,823
310,1001,823
311,1003,823
312,1005,823
313,1007,823
314,1009,823
315,1011,823
316,1013,823
317,1015,823
318,1017,823
319,1019,823
320,1021,823
321,1023,823
322,1025,823
323,1027,823
324,1029,823
