RunTime,ExecutableName
2025-01-23 10:07:17.5356217,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-22 20:43:22.1976029,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-22 12:12:50.3138503,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-22 07:49:27.5026175,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-21 20:35:47.7037676,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-20 08:11:43.9893534,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-18 16:35:19.4841885,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-17 19:57:41.7464746,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2025-01-23 18:50:51.1963511,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 16:51:14.0151715,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 16:40:14.0977061,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 16:32:25.9922127,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 16:08:20.7281457,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 16:01:19.0774534,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 15:46:54.8185506,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 15:19:19.8280991,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\AUDIODG.EXE
2025-01-23 21:55:07.9434479,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 21:34:58.3808262,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 21:28:08.1778471,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 21:25:04.8713228,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 20:15:11.6642254,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 20:02:43.2138361,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 20:00:12.1173008,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 19:49:56.2071176,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-01-23 18:42:39.1935011,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\BDEUISRV.EXE
2025-01-22 20:43:22.2187262,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSCALCULATOR_11.2411.1.0_X64__8WEKYB3D8BBWE\CALCULATORAPP.EXE
2025-01-14 23:49:08.6948862,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSCALCULATOR_11.2411.1.0_X64__8WEKYB3D8BBWE\CALCULATORAPP.EXE
2025-01-23 21:26:33.8395974,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CMD.EXE
2025-01-23 14:34:20.1816599,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CMD.EXE
2025-01-17 20:53:27.1849007,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-17 07:58:55.1824640,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-16 21:26:07.2711543,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-16 21:26:06.9901578,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-16 14:09:23.3450365,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-16 14:09:23.1169087,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-16 11:31:04.9326844,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-13 14:56:37.7256497,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\PROGRAMS\MICROSOFT VS CODE\CODE.EXE
2025-01-13 14:37:54.4908705,CODESETUP-STABLE-91FBDDDC47BC
2025-01-08 11:19:33.7518507,CODESETUP-STABLE-FABDB6A30B49
2025-01-23 12:56:23.0678625,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2025-01-23 12:55:23.6481767,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2025-01-23 12:55:23.0633796,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2025-01-23 12:52:38.1733580,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2025-01-23 21:55:49.6801524,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 21:28:28.8586670,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 21:26:16.1530388,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 14:47:16.6830392,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 14:38:07.4565445,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 14:38:04.3448983,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 14:38:01.8964049,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 14:36:44.1392312,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\COMPPKGSRV.EXE
2025-01-23 21:59:37.5451552,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 21:55:23.3467160,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 21:26:33.8531442,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 21:26:34.2290227,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 19:58:24.7908894,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 18:58:24.5883013,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 18:42:55.9982206,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 16:46:07.5076632,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONHOST.EXE
2025-01-23 10:56:09.3930227,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-23 10:15:27.2846992,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-22 20:36:53.0513196,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-22 20:26:24.8809490,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-17 20:48:09.9135775,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-17 20:41:35.2475966,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-16 21:26:33.7207361,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-15 20:16:59.8917464,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CONSENT.EXE
2025-01-23 21:27:06.0489073,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\MICROSOFTWINDOWS.CROSSDEVICE_1.24112.22.0_X64__CW5N1H2TXYEWY\CROSSDEVICESERVICE.EXE
2025-01-23 14:36:04.9917325,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\MICROSOFTWINDOWS.CROSSDEVICE_1.24112.22.0_X64__CW5N1H2TXYEWY\CROSSDEVICESERVICE.EXE
2025-01-23 20:15:15.3172116,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CSRSS.EXE
2025-01-23 13:04:23.6116982,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CSRSS.EXE
2025-01-23 21:25:11.6401600,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CTFMON.EXE
2025-01-23 18:42:52.0285187,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\CTFMON.EXE
2025-01-22 22:09:28.5283830,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLCIPHER.EXE
2025-01-22 22:15:44.5284434,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-22 20:46:00.8158837,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-22 20:42:40.1002587,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-22 20:37:04.1208219,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-15 19:03:49.4630990,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-15 18:44:12.9901407,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-15 18:40:13.7309109,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2025-01-15 17:55:12.7794086,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\DB BROWSER FOR SQLITE\DB BROWSER FOR SQLITE.EXE
2024-12-19 19:39:24.9090091,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-12-16 14:30:28.4381109,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-12-15 16:39:13.4833781,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-12-09 19:31:15.0637141,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-12-09 13:25:32.6587349,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-12-08 21:14:53.1956062,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.45.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2025-01-08 18:56:42.5850460,\VOLUME{01d9f43f0324b581-a6032e67}\PROGRAM FILES\WINDOWSAPPS\9426MICRO-STARINTERNATION.MSICENTER_2.0.47.0_X64__KZH8WXBDKXB8P\DCV2\DCV2.EXE
2024-09-05 07:04:33.0212918,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9161\DISCORD.EXE
2024-09-04 04:34:40.2456509,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9161\DISCORD.EXE
2024-09-03 19:08:21.1831676,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9161\DISCORD.EXE
2024-09-03 12:48:27.3022548,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9161\DISCORD.EXE
