Key Path,Value Name,Value Data,Value Type
\SOFTWARE\Google\DriveFS,PerAccountPreferences,"{""per_account_preferences"":[{""key"":""107173935978532562111"",""value"":{""machine_root_doc_id"":""1WwmD-BgffFYqQGmSDAudlId59_Isc_CJ""}}]}",RegSZ
\SOFTWARE\Google\DriveFS,DoNotShowNotifications,"{""entry"":[{""notification_type"":190},{""notification_type"":261}]}",RegSZ
\SOFTWARE\Google\DriveFS\Share,BasePath,C:\Users\Sami\AppData\Local\Google\DriveFS,RegSZ
\SOFTWARE\Google\DriveFS\Share,SyncTargets,0a660a170a153130373137333933353937383533323536323131311202473a1a17433a5c55736572735c53616d695c446f63756d656e74731a15433a5c55736572735c53616d695c4465736b746f701a17433a5c55736572735c53616d695c446f776e6c6f616473,RegBin
\SOFTWARE\Google\DriveFS\Share,ShellIpcPath,\\.\Pipe\GoogleDriveFSPipe_Sami_shell,RegSZ
\SOFTWARE\Google\DriveFS\Share,TrackFilesOutsideOfDriveForContextMenu,1,RegDWord
\SOFTWARE\Google\DriveFS\Share,ExceptionEnabledApps,.*,RegSZ
\SOFTWARE\Microsoft\OneDrive,EnableDownlevelInstallOnBluePlus,0,RegDWord
\SOFTWARE\Microsoft\OneDrive,EnableTHDFFeatures,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,Version,24.211.1020.0001,RegSZ
\SOFTWARE\Microsoft\OneDrive,CurrentVersionPath,C:\Users\Sami\AppData\Local\Microsoft\OneDrive\24.211.1020.0001,RegSZ
\SOFTWARE\Microsoft\OneDrive,MultiAccountRegMigrationComplete,0,RegDWord
\SOFTWARE\Microsoft\OneDrive,OneDriveTrigger,C:\Users\Sami\AppData\Local\Microsoft\OneDrive\OneDrive.exe,RegSZ
\SOFTWARE\Microsoft\OneDrive,OSVerODRanFirstTime,10.0.19045,RegSZ
\SOFTWARE\Microsoft\OneDrive,SCOOBEOptIn,256,RegDWord
\SOFTWARE\Microsoft\OneDrive,LastRunOneDriveVersion,24.211.1020.0001,RegSZ
\SOFTWARE\Microsoft\OneDrive,PreSignInSettingsConfigTimestamp,6d566bcce236db01,RegBin
\SOFTWARE\Microsoft\OneDrive,UpdateRingSettingsLastSuccess,20041,RegDWord
\SOFTWARE\Microsoft\OneDrive,FileCoAuthTelemetryRampStatus,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,FileCoAuthFeatureRampStatusFlags,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,FileCoAuthUriSourceRampStatus,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,OOBERedirection,256,RegDWord
\SOFTWARE\Microsoft\OneDrive,ClientConfigTelemetryTimeStamp,1731589843,RegQWord
\SOFTWARE\Microsoft\OneDrive,UpdateXMLRescanTime,1440,RegDWord
\SOFTWARE\Microsoft\OneDrive,OduCheckForUpdateStartTime,1731622558,RegQWord
\SOFTWARE\Microsoft\OneDrive,OduCheckForUpdateEndTime,1731622559,RegQWord
\SOFTWARE\Microsoft\OneDrive,OduDownloadOneDriveSetupStartTime,1731511631,RegQWord
\SOFTWARE\Microsoft\OneDrive,OduDownloadOneDriveSetupEndTime,1731511767,RegQWord
\SOFTWARE\Microsoft\OneDrive,FileSyncShellKillSwitchFlag,0,RegDWord
\SOFTWARE\Microsoft\OneDrive,ClientEverSignedIn,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,SilentBusinessConfigByDefaultRamp,0,RegDWord
\SOFTWARE\Microsoft\OneDrive,StandaloneUpdaterSafeMode,0,RegDWord
\SOFTWARE\Microsoft\OneDrive,WebView2InstallTimestamp,1730221067,RegQWord
\SOFTWARE\Microsoft\OneDrive,LaunchedWebView2Bootstrapper,1,RegDWord
\SOFTWARE\Microsoft\OneDrive,MachineGuidCollection,ff930e72-5eb4-4432-9676-40d239fcbaa0,RegSZ
\SOFTWARE\Microsoft\OneDrive,HostNameCollection,desktop-291toak,RegSZ
\SOFTWARE\Microsoft\OneDrive,UserNameCollection,sami,RegSZ
\SOFTWARE\Microsoft\OneDrive,UserDomainCollection,desktop-291toak,RegSZ
